test_name,b_bp,r_bp,txn_id,op_type,bank,latency_ns
mem_full_test,0,0,853,WR,2,40.00
mem_full_test,0,0,855,WR,2,40.00
mem_full_test,0,0,857,WR,2,40.00
mem_full_test,0,0,859,WR,2,40.00
mem_full_test,0,0,861,WR,2,40.00
mem_full_test,0,0,863,WR,2,40.00
mem_full_test,0,0,865,WR,2,40.00
mem_full_test,0,0,867,WR,2,40.00
mem_full_test,0,0,869,WR,2,40.00
mem_full_test,0,0,871,WR,2,40.00
mem_full_test,0,0,873,WR,2,40.00
mem_full_test,0,0,875,WR,2,50.00
mem_full_test,0,0,877,WR,2,40.00
mem_full_test,0,0,879,WR,2,40.00
mem_full_test,0,0,881,WR,2,50.00
mem_full_test,0,0,883,WR,2,60.00
mem_full_test,0,0,885,WR,2,60.00
mem_full_test,0,0,887,WR,2,60.00
mem_full_test,0,0,889,WR,2,40.00
mem_full_test,0,0,891,WR,2,40.00
mem_full_test,0,0,893,WR,2,40.00
mem_full_test,0,0,895,WR,2,40.00
mem_full_test,0,0,897,WR,2,40.00
mem_full_test,0,0,899,WR,2,40.00
mem_full_test,0,0,901,WR,2,40.00
mem_full_test,0,0,903,WR,2,40.00
mem_full_test,0,0,905,WR,2,40.00
mem_full_test,0,0,907,WR,2,50.00
mem_full_test,0,0,909,WR,2,50.00
mem_full_test,0,0,911,WR,2,40.00
mem_full_test,0,0,913,WR,2,40.00
mem_full_test,0,0,915,WR,2,40.00
mem_full_test,0,0,917,WR,2,40.00
mem_full_test,0,0,919,WR,2,40.00
mem_full_test,0,0,921,WR,2,40.00
mem_full_test,0,0,923,WR,2,40.00
mem_full_test,0,0,925,WR,2,40.00
mem_full_test,0,0,927,WR,2,40.00
mem_full_test,0,0,929,WR,2,40.00
mem_full_test,0,0,931,WR,2,50.00
mem_full_test,0,0,933,WR,2,60.00
mem_full_test,0,0,935,WR,2,40.00
mem_full_test,0,0,937,WR,2,40.00
mem_full_test,0,0,939,WR,2,40.00
mem_full_test,0,0,941,WR,2,40.00
mem_full_test,0,0,943,WR,2,40.00
mem_full_test,0,0,945,WR,2,40.00
mem_full_test,0,0,947,WR,2,40.00
mem_full_test,0,0,949,WR,2,40.00
mem_full_test,0,0,951,WR,2,40.00
mem_full_test,0,0,953,WR,2,40.00
mem_full_test,0,0,955,WR,2,40.00
mem_full_test,0,0,957,WR,2,40.00
mem_full_test,0,0,959,WR,2,50.00
mem_full_test,0,0,961,WR,2,60.00
mem_full_test,0,0,963,WR,2,40.00
mem_full_test,0,0,965,WR,2,40.00
mem_full_test,0,0,967,WR,2,40.00
mem_full_test,0,0,969,WR,2,40.00
mem_full_test,0,0,971,WR,2,40.00
mem_full_test,0,0,973,WR,2,50.00
mem_full_test,0,0,975,WR,2,60.00
